FeedbackID,CustomerID,ProductID,Review,Rating,Date
FB000079,CUST019733,P0024,"Very happy with the purchase, smooth experience",5,2024-02-29
FB000080,CUST018524,P0123,"Phone is okay, expected slightly better battery",3,2026-03-28
FB000081,CUST036391,P0515,"It's fine, delivery took a couple of extra days",3,2026-07-06
FB000082,CUST033110,P0445,"Very happy with the purchase, smooth experience",5,2025-01-30
FB000083,CUST019471,P0157,"Very happy with the purchase, smooth experience",5,2026-02-12
FB000084,CUST005439,P0481,"Poor packaging, box was damaged on arrival",2,2025-06-29
FB000085,CUST010078,P0479,"Very happy with the purchase, smooth experience",5,2025-04-08
FB000086,CUST021827,P0419,"It's fine, delivery took a couple of extra days",3,2026-06-21
FB000087,CUST036954,P0292,"Phone is okay, expected slightly better battery",3,2024-01-12
FB000088,CUST013028,P0379,Super fast delivery and genuine product,5,2024-08-18
FB000089,CUST006869,P0498,Super fast delivery and genuine product,4,2024-06-12
FB000090,CUST038556,P0510,"Average performance, heats up a bit while gaming",3,2026-06-01
FB000091,CUST038393,P0153,"Great value for money, battery life is superb",4,2024-10-11
FB000092,CUST007234,P0589,"Excellent phone, camera quality is amazing",4,2024-07-31
FB000093,CUST011597,P0433,Warranty claim process was very slow,2,2024-12-18
FB000094,CUST009226,P0447,"Very happy with the purchase, smooth experience",4,2026-06-20
FB000095,CUST049800,P0081,"Received a scratched unit, very disappointed",1,2025-06-28
FB000096,CUST018129,P0572,"It's fine, delivery took a couple of extra days",3,2026-05-14
FB000097,CUST008348,P0354,Loved the display and performance,5,2026-01-12
FB000098,CUST006712,P0487,"Battery drains too fast, not worth the price",2,2024-03-19
FB000099,CUST046732,P0567,"Excellent phone, camera quality is amazing",5,2025-03-27
FB000100,CUST000156,P0496,Build quality and after-sales support are great,5,2024-05-18
FB000101,CUST005226,P0489,"Great value for money, battery life is superb",4,2025-11-05
FB000102,CUST021146,P0055,"Great value for money, battery life is superb",4,2025-07-01
FB000103,CUST000146,P0334,"Very happy with the purchase, smooth experience",4,2026-01-10
FB000104,CUST049338,P0190,Loved the display and performance,4,2026-05-08
FB000105,CUST016819,P0183,"It's fine, delivery took a couple of extra days",3,2023-10-19
FB000106,CUST005643,P0560,Build quality and after-sales support are great,5,2025-11-14
FB000107,CUST002936,P0098,"Excellent phone, camera quality is amazing",4,2026-03-09
FB000108,CUST038805,P0411,"Battery drains too fast, not worth the price",1,2025-07-16
FB000109,CUST005050,P0068,"It's fine, delivery took a couple of extra days",3,2024-07-02
FB000110,CUST021735,P0354,"Very happy with the purchase, smooth experience",4,2024-07-07
FB000111,CUST020779,P0136,"It's fine, delivery took a couple of extra days",3,2025-04-15
FB000112,CUST007361,P0426,Build quality and after-sales support are great,5,2025-07-20
FB000113,CUST035934,P0249,"Great value for money, battery life is superb",4,2024-10-13
FB000114,CUST013976,P0538,"Battery drains too fast, not worth the price",2,2023-12-05
FB000115,CUST015092,P0259,"Excellent phone, camera quality is amazing",5,2024-11-30
FB000116,CUST013778,P0505,"Excellent phone, camera quality is amazing",5,2024-01-12
FB000117,CUST000840,P0080,"Battery drains too fast, not worth the price",1,2024-07-23
FB000118,CUST002764,P0325,Super fast delivery and genuine product,5,2025-11-01
FB000119,CUST001945,P0090,"Great value for money, battery life is superb",5,2024-09-06
FB000120,CUST044666,P0512,Warranty claim process was very slow,2,2023-12-09
FB000121,CUST029119,P0385,"Average performance, heats up a bit while gaming",3,2024-11-22
FB000122,CUST035951,P0456,Loved the display and performance,4,2023-12-13
FB000123,CUST025727,P0220,"Average performance, heats up a bit while gaming",3,2024-01-18
FB000124,CUST035777,P0519,"Average performance, heats up a bit while gaming",3,2023-10-05
FB000125,CUST024547,P0213,"Battery drains too fast, not worth the price",2,2024-08-06
FB000126,CUST029464,P0456,Build quality and after-sales support are great,5,2025-08-29
FB000127,CUST025380,P0420,Super fast delivery and genuine product,4,2025-08-10
FB000128,CUST020716,P0264,Super fast delivery and genuine product,5,2024-08-12
FB000129,CUST044131,P0560,"Very happy with the purchase, smooth experience",5,2023-12-22
FB000130,CUST036442,P0169,"Excellent phone, camera quality is amazing",5,2024-08-12
FB000131,CUST027253,P0565,"Battery drains too fast, not worth the price",2,2026-04-26
FB000132,CUST033178,P0347,"Very happy with the purchase, smooth experience",5,2025-02-01
FB000133,CUST023573,P0392,"Phone is okay, expected slightly better battery",3,2024-03-07
FB000134,CUST018994,P0144,"Excellent phone, camera quality is amazing",5,2023-10-05
FB000135,CUST038624,P0019,"Excellent phone, camera quality is amazing",4,2025-10-22
FB000136,CUST035189,P0458,"Great value for money, battery life is superb",5,2023-09-15
FB000137,CUST006191,P0157,Build quality and after-sales support are great,4,2025-05-10
FB000138,CUST025817,P0289,Super fast delivery and genuine product,4,2023-10-27
FB000139,CUST040663,P0398,"Poor packaging, box was damaged on arrival",2,2025-01-01
FB000140,CUST023989,P0102,Super fast delivery and genuine product,5,2024-09-17
FB000141,CUST028260,P0250,Build quality and after-sales support are great,4,2026-02-27
FB000142,CUST043511,P0324,"Received a scratched unit, very disappointed",1,2024-10-10
FB000143,CUST049198,P0417,"Great value for money, battery life is superb",5,2025-04-06
FB000144,CUST006693,P0292,"Phone is okay, expected slightly better battery",3,2026-02-11
FB000145,CUST047542,P0002,Build quality and after-sales support are great,4,2025-05-01
FB000146,CUST044247,P0318,"Very happy with the purchase, smooth experience",5,2025-09-23
FB000147,CUST015257,P0390,"Phone is okay, expected slightly better battery",3,2024-11-16
FB000148,CUST015096,P0439,"Battery drains too fast, not worth the price",1,2023-12-23
FB000149,CUST002959,P0077,"Great value for money, battery life is superb",5,2025-07-09
FB000150,CUST016742,P0374,Loved the display and performance,4,2024-02-14
FB000151,CUST003434,P0231,"Very happy with the purchase, smooth experience",4,2024-11-26
FB000152,CUST009250,P0013,Super fast delivery and genuine product,5,2024-03-31
FB000153,CUST029006,P0152,Build quality and after-sales support are great,4,2024-05-31
FB000154,CUST035474,P0466,Warranty claim process was very slow,2,2024-12-04
FB000155,CUST027052,P0441,"Very happy with the purchase, smooth experience",4,2024-04-20
FB000156,CUST014881,P0436,"Great value for money, battery life is superb",5,2023-12-03
FB000157,CUST006385,P0590,"Very happy with the purchase, smooth experience",5,2023-12-14
FB000158,CUST042884,P0449,"Average performance, heats up a bit while gaming",3,2023-09-16
FB000159,CUST048026,P0117,"Excellent phone, camera quality is amazing",5,2024-02-17
FB000160,CUST045626,P0589,Super fast delivery and genuine product,4,2026-05-02
FB000161,CUST035849,P0099,"Great value for money, battery life is superb",4,2025-11-03
FB000162,CUST024450,P0219,"Excellent phone, camera quality is amazing",4,2024-03-23
FB000163,CUST014126,P0407,Loved the display and performance,4,2025-05-07
FB000164,CUST030340,P0168,Loved the display and performance,4,2025-08-03
FB000165,CUST002928,P0400,Super fast delivery and genuine product,4,2025-03-10
FB000166,CUST027039,P0206,"Excellent phone, camera quality is amazing",4,2024-07-16
FB000167,CUST015147,P0238,"Average performance, heats up a bit while gaming",3,2025-02-26
FB000168,CUST039310,P0456,"Battery drains too fast, not worth the price",1,2024-10-09
FB000169,CUST003357,P0341,"Received a scratched unit, very disappointed",1,2024-06-10
FB000170,CUST031693,P0072,"Very happy with the purchase, smooth experience",5,2025-12-12
FB000171,CUST011963,P0213,"Very happy with the purchase, smooth experience",4,2025-03-24
FB000172,CUST032535,P0041,Build quality and after-sales support are great,5,2025-05-31
FB000173,CUST001922,P0387,"Great value for money, battery life is superb",4,2023-12-02
FB000174,CUST017976,P0535,Super fast delivery and genuine product,5,2024-10-11
FB000175,CUST028224,P0201,Super fast delivery and genuine product,5,2024-07-05
FB000176,CUST001858,P0237,"Great value for money, battery life is superb",4,2024-09-27
FB000177,CUST018964,P0144,Loved the display and performance,4,2023-09-10
FB000178,CUST004731,P0580,"Battery drains too fast, not worth the price",2,2025-01-25
FB000179,CUST000544,P0118,"Received a scratched unit, very disappointed",2,2024-01-15
FB000180,CUST034495,P0368,"Poor packaging, box was damaged on arrival",2,2026-05-09
FB000181,CUST030236,P0173,"Very happy with the purchase, smooth experience",4,2025-07-30
FB000182,CUST002748,P0070,"Average performance, heats up a bit while gaming",3,2025-11-27
FB000183,CUST023182,P0552,"Phone hung frequently, had to get it exchanged",1,2024-04-02
FB000184,CUST041935,P0128,Loved the display and performance,4,2024-01-05
FB000185,CUST042110,P0215,"Phone is okay, expected slightly better battery",3,2024-07-29
FB000186,CUST001249,P0290,Super fast delivery and genuine product,5,2024-11-15
FB000187,CUST032829,P0433,Build quality and after-sales support are great,5,2024-08-25
FB000188,CUST039977,P0435,"Excellent phone, camera quality is amazing",5,2023-08-31
FB000189,CUST038350,P0291,Warranty claim process was very slow,2,2024-04-10
FB000190,CUST003235,P0008,Build quality and after-sales support are great,5,2026-01-21
FB000191,CUST004865,P0148,"Great value for money, battery life is superb",4,2025-01-21
FB000192,CUST005356,P0140,"Great value for money, battery life is superb",5,2025-03-10
FB000193,CUST005169,P0270,"Average performance, heats up a bit while gaming",3,2025-09-15
FB000194,CUST032186,P0538,"Very happy with the purchase, smooth experience",4,2026-07-02
FB000195,CUST008845,P0244,"Phone is okay, expected slightly better battery",3,2026-04-28
FB000196,CUST019179,P0402,Warranty claim process was very slow,2,2025-05-02
FB000197,CUST041207,P0137,"It's fine, delivery took a couple of extra days",3,2024-08-12
FB000198,CUST017157,P0190,Build quality and after-sales support are great,5,2024-07-12
FB000199,CUST042792,P0178,Loved the display and performance,5,2025-09-28
FB000200,CUST047858,P0546,Super fast delivery and genuine product,5,2023-10-17
FB000201,CUST002714,P0112,Loved the display and performance,5,2026-03-01
FB000202,CUST012398,P0151,"Great value for money, battery life is superb",4,2023-07-22
FB000203,CUST034252,P0598,Loved the display and performance,5,2025-10-06
FB000204,CUST003139,P0243,Super fast delivery and genuine product,5,2025-10-25
FB000205,CUST043676,P0018,"Phone hung frequently, had to get it exchanged",1,2024-09-22
FB000206,CUST022188,P0407,Super fast delivery and genuine product,4,2025-03-17
FB000207,CUST023989,P0563,"Very happy with the purchase, smooth experience",5,2024-06-27
FB000208,CUST039817,P0532,"It's fine, delivery took a couple of extra days",3,2025-07-23
FB000209,CUST042937,P0147,"Phone is okay, expected slightly better battery",3,2025-05-30
FB000210,CUST033061,P0405,"Great value for money, battery life is superb",4,2025-02-05
FB000211,CUST005499,P0489,Super fast delivery and genuine product,4,2025-03-18
FB000212,CUST031500,P0424,Build quality and after-sales support are great,5,2024-06-03
FB000213,CUST022556,P0006,"Excellent phone, camera quality is amazing",4,2023-08-10
FB000214,CUST019348,P0004,"Poor packaging, box was damaged on arrival",2,2024-06-15
FB000215,CUST003810,P0535,"Battery drains too fast, not worth the price",2,2025-03-11
FB000216,CUST022776,P0144,Super fast delivery and genuine product,5,2025-09-14
FB000217,CUST003058,P0547,"Battery drains too fast, not worth the price",2,2025-02-17
FB000218,CUST027840,P0114,"Phone hung frequently, had to get it exchanged",2,2025-04-09
FB000219,CUST016636,P0395,"Very happy with the purchase, smooth experience",5,2024-09-07
FB000220,CUST030946,P0264,"Very happy with the purchase, smooth experience",5,2023-12-23
FB000221,CUST018717,P0062,"Great value for money, battery life is superb",5,2024-03-10
FB000222,CUST015831,P0565,"Phone is okay, expected slightly better battery",3,2023-10-22
FB000223,CUST003290,P0370,"Excellent phone, camera quality is amazing",4,2024-08-18
FB000224,CUST032151,P0526,"Excellent phone, camera quality is amazing",5,2025-10-05
FB000225,CUST008015,P0307,"Very happy with the purchase, smooth experience",4,2025-02-24
FB000226,CUST025765,P0470,"Excellent phone, camera quality is amazing",4,2024-09-02
FB000227,CUST010302,P0415,"Excellent phone, camera quality is amazing",4,2024-10-14
FB000228,CUST048739,P0102,"Phone hung frequently, had to get it exchanged",1,2025-03-07
FB000229,CUST026459,P0404,"Great value for money, battery life is superb",5,2024-03-29
FB000230,CUST013555,P0185,Super fast delivery and genuine product,5,2025-01-09
FB000231,CUST025283,P0556,"Great value for money, battery life is superb",4,2024-10-03
FB000232,CUST037423,P0261,"Phone hung frequently, had to get it exchanged",1,2024-01-18
FB000233,CUST003935,P0380,"Very happy with the purchase, smooth experience",5,2024-03-30
FB000234,CUST037412,P0473,"Phone hung frequently, had to get it exchanged",1,2025-05-09
FB000235,CUST010937,P0595,"Very happy with the purchase, smooth experience",5,2024-04-05
FB000236,CUST020543,P0518,Build quality and after-sales support are great,5,2025-08-25
FB000237,CUST007077,P0542,"Poor packaging, box was damaged on arrival",1,2025-06-11
FB000238,CUST046131,P0290,"Received a scratched unit, very disappointed",2,2024-02-13
FB000239,CUST041869,P0025,"Excellent phone, camera quality is amazing",5,2025-03-08
FB000240,CUST005534,P0179,"Phone hung frequently, had to get it exchanged",1,2024-04-01
FB000241,CUST049209,P0063,"Great value for money, battery life is superb",4,2024-09-18
FB000242,CUST048940,P0115,"Average performance, heats up a bit while gaming",3,2024-02-03
FB000243,CUST024530,P0032,"Excellent phone, camera quality is amazing",4,2024-03-06
FB000244,CUST037173,P0326,Super fast delivery and genuine product,4,2025-03-04
FB000245,CUST048206,P0528,"Very happy with the purchase, smooth experience",5,2024-06-02
FB000246,CUST021129,P0191,Build quality and after-sales support are great,4,2024-05-20
FB000247,CUST014031,P0500,Loved the display and performance,5,2025-03-17
FB000248,CUST027354,P0402,Build quality and after-sales support are great,5,2025-03-04
FB000249,CUST022933,P0381,"Excellent phone, camera quality is amazing",4,2026-05-08
FB000250,CUST034514,P0148,"Poor packaging, box was damaged on arrival",2,2025-04-26
FB000251,CUST021187,P0008,"Poor packaging, box was damaged on arrival",1,2025-03-29
FB000252,CUST028841,P0102,"Received a scratched unit, very disappointed",2,2023-12-03
FB000253,CUST031384,P0208,"Very happy with the purchase, smooth experience",5,2023-08-18
FB000254,CUST008694,P0092,"Very happy with the purchase, smooth experience",5,2025-08-02
FB000255,CUST003641,P0078,"Received a scratched unit, very disappointed",2,2026-04-03
FB000256,CUST012796,P0100,Loved the display and performance,4,2024-08-07
FB000257,CUST022651,P0339,"Phone is okay, expected slightly better battery",3,2023-10-30
FB000258,CUST011062,P0452,"Average performance, heats up a bit while gaming",3,2025-06-28
FB000259,CUST017959,P0053,Build quality and after-sales support are great,4,2025-09-09
FB000260,CUST003040,P0379,"Very happy with the purchase, smooth experience",4,2024-09-02
FB000261,CUST011219,P0058,Loved the display and performance,5,2024-12-09
FB000262,CUST045980,P0455,Loved the display and performance,4,2024-03-15
FB000263,CUST015007,P0163,Warranty claim process was very slow,1,2024-06-26
FB000264,CUST027316,P0448,"Great value for money, battery life is superb",4,2025-06-10
FB000265,CUST032093,P0349,Loved the display and performance,5,2026-01-03
FB000266,CUST011281,P0434,"Excellent phone, camera quality is amazing",4,2026-06-08
FB000267,CUST032503,P0179,"Great value for money, battery life is superb",4,2024-02-20
FB000268,CUST016552,P0525,"Excellent phone, camera quality is amazing",5,2024-05-06
FB000269,CUST010479,P0308,Build quality and after-sales support are great,5,2024-03-17
FB000270,CUST026105,P0270,Super fast delivery and genuine product,4,2023-09-29
FB000271,CUST037239,P0346,Loved the display and performance,5,2024-07-14
FB000272,CUST027221,P0104,"Excellent phone, camera quality is amazing",5,2024-12-11
FB000273,CUST028965,P0508,"Very happy with the purchase, smooth experience",4,2024-04-08
FB000274,CUST044679,P0591,Build quality and after-sales support are great,4,2024-04-05
FB000275,CUST002035,P0279,"It's fine, delivery took a couple of extra days",3,2024-02-03
FB000276,CUST009507,P0302,"It's fine, delivery took a couple of extra days",3,2024-02-26
FB000277,CUST049797,P0383,Loved the display and performance,5,2025-09-09
FB000278,CUST037807,P0030,"Very happy with the purchase, smooth experience",4,2026-07-01
FB000279,CUST024369,P0392,Loved the display and performance,4,2026-06-08
FB000280,CUST026485,P0064,Super fast delivery and genuine product,5,2024-09-01
FB000281,CUST039821,P0162,"Average performance, heats up a bit while gaming",3,2023-12-16
FB000282,CUST034903,P0142,Loved the display and performance,4,2024-06-10
FB000283,CUST028219,P0529,"Received a scratched unit, very disappointed",1,2024-09-28
FB000284,CUST040847,P0272,Super fast delivery and genuine product,4,2024-05-02
FB000285,CUST042650,P0513,"Poor packaging, box was damaged on arrival",2,2025-12-21
FB000286,CUST012674,P0383,Warranty claim process was very slow,2,2025-03-25
FB000287,CUST007060,P0260,Build quality and after-sales support are great,4,2024-01-14
FB000288,CUST020646,P0269,"Very happy with the purchase, smooth experience",5,2024-04-09
FB000289,CUST035176,P0424,"Poor packaging, box was damaged on arrival",2,2023-11-19
FB000290,CUST044239,P0499,Loved the display and performance,5,2026-03-07
FB000291,CUST001295,P0324,Build quality and after-sales support are great,4,2023-09-09
FB000292,CUST038783,P0475,"It's fine, delivery took a couple of extra days",3,2025-01-09
FB000293,CUST013617,P0477,Super fast delivery and genuine product,4,2024-09-15
FB000294,CUST002416,P0248,Warranty claim process was very slow,2,2025-05-25
FB000295,CUST029625,P0366,Loved the display and performance,5,2025-09-16
FB000296,CUST043144,P0217,"Received a scratched unit, very disappointed",2,2024-06-09
FB000297,CUST037918,P0138,"Very happy with the purchase, smooth experience",5,2026-04-15
FB000298,CUST032291,P0594,"Great value for money, battery life is superb",4,2025-04-28
FB000299,CUST015904,P0397,Loved the display and performance,5,2024-03-17
FB000300,CUST042058,P0071,Super fast delivery and genuine product,4,2023-12-06
FB000301,CUST035845,P0136,"Very happy with the purchase, smooth experience",5,2025-05-08
FB000302,CUST016878,P0206,"Great value for money, battery life is superb",5,2025-04-01
FB000303,CUST028943,P0469,Build quality and after-sales support are great,4,2024-12-18
FB000304,CUST034350,P0388,"Very happy with the purchase, smooth experience",5,2025-02-07
FB000305,CUST006937,P0493,"Very happy with the purchase, smooth experience",4,2026-01-14
FB000306,CUST039989,P0488,Super fast delivery and genuine product,4,2025-04-05
FB000307,CUST039896,P0200,"Very happy with the purchase, smooth experience",4,2025-05-25
FB000308,CUST046638,P0401,"Excellent phone, camera quality is amazing",4,2024-10-30
FB000309,CUST039705,P0243,"Excellent phone, camera quality is amazing",5,2025-11-11
FB000310,CUST040807,P0089,"Very happy with the purchase, smooth experience",5,2023-08-05
FB000311,CUST028699,P0163,"Battery drains too fast, not worth the price",1,2025-01-12
FB000312,CUST013681,P0090,Loved the display and performance,4,2024-10-01
FB000313,CUST035072,P0589,Super fast delivery and genuine product,5,2025-09-29
FB000314,CUST044336,P0449,"Excellent phone, camera quality is amazing",4,2024-11-06
FB000315,CUST038961,P0229,Build quality and after-sales support are great,5,2025-04-04
FB000316,CUST005756,P0569,"Excellent phone, camera quality is amazing",5,2025-12-02
FB000317,CUST042355,P0405,"It's fine, delivery took a couple of extra days",3,2026-01-12
FB000318,CUST020286,P0239,"Great value for money, battery life is superb",4,2026-05-03
FB000319,CUST019779,P0272,"Excellent phone, camera quality is amazing",5,2025-10-09
FB000320,CUST004706,P0517,"Phone is okay, expected slightly better battery",3,2025-12-04
FB000321,CUST020433,P0471,Loved the display and performance,4,2023-09-23
FB000322,CUST029361,P0558,"Excellent phone, camera quality is amazing",4,2026-02-15
FB000323,CUST031595,P0581,Loved the display and performance,4,2025-10-20
FB000324,CUST009798,P0298,"Poor packaging, box was damaged on arrival",1,2024-07-07
FB000325,CUST009344,P0215,"Phone is okay, expected slightly better battery",3,2023-09-15
FB000326,CUST001419,P0188,"Phone hung frequently, had to get it exchanged",2,2023-11-20
FB000327,CUST003878,P0155,"Average performance, heats up a bit while gaming",3,2023-11-28
FB000328,CUST013545,P0055,Loved the display and performance,5,2026-05-26
FB000329,CUST042662,P0305,"Phone hung frequently, had to get it exchanged",1,2026-01-26
FB000330,CUST011862,P0364,Warranty claim process was very slow,1,2024-02-25
FB000331,CUST032874,P0095,Super fast delivery and genuine product,4,2025-11-10
FB000332,CUST016917,P0410,Build quality and after-sales support are great,5,2025-07-03
FB000333,CUST020035,P0365,"Excellent phone, camera quality is amazing",4,2024-10-19
FB000334,CUST033278,P0445,Loved the display and performance,4,2025-01-31
FB000335,CUST021481,P0135,Build quality and after-sales support are great,5,2023-08-20
FB000336,CUST033891,P0481,"Phone hung frequently, had to get it exchanged",2,2026-06-08
FB000337,CUST020538,P0304,Super fast delivery and genuine product,4,2024-08-03
FB000338,CUST039491,P0146,"Poor packaging, box was damaged on arrival",2,2023-07-13
FB000339,CUST035027,P0181,"Very happy with the purchase, smooth experience",5,2025-01-05
FB000340,CUST019853,P0400,"Great value for money, battery life is superb",5,2025-11-21
FB000341,CUST017545,P0159,Loved the display and performance,5,2025-05-14
FB000342,CUST025187,P0570,"It's fine, delivery took a couple of extra days",3,2024-11-09
FB000343,CUST011118,P0217,"Battery drains too fast, not worth the price",2,2024-12-13
FB000344,CUST001252,P0570,"Average performance, heats up a bit while gaming",3,2023-11-16
FB000345,CUST041418,P0587,Warranty claim process was very slow,2,2023-11-01
FB000346,CUST018636,P0266,"Poor packaging, box was damaged on arrival",1,2026-01-04
FB000347,CUST008429,P0504,"Great value for money, battery life is superb",5,2026-05-26
FB000348,CUST029193,P0198,"Excellent phone, camera quality is amazing",4,2023-09-08
FB000349,CUST018276,P0364,Loved the display and performance,4,2023-08-18
FB000350,CUST003014,P0189,"Very happy with the purchase, smooth experience",5,2023-10-14
FB000351,CUST009837,P0502,"Very happy with the purchase, smooth experience",5,2025-10-01
FB000352,CUST046190,P0172,"Great value for money, battery life is superb",4,2024-08-03
FB000353,CUST049156,P0018,"It's fine, delivery took a couple of extra days",3,2025-01-20
FB000354,CUST025029,P0404,Super fast delivery and genuine product,5,2023-12-09
FB000355,CUST003648,P0339,"Excellent phone, camera quality is amazing",5,2023-09-21
FB000356,CUST047310,P0232,Build quality and after-sales support are great,5,2025-08-05
FB000357,CUST006492,P0232,Loved the display and performance,5,2025-12-21
